invoice_id,order_id,invoice_date,due_date,invoice_amount,paid_amount,customer_name,service_station_code
INV00076,ORD00318,2026-05-21,2026-03-30,35357.89,0.0,Demo Customer 002,SS013
INV00077,ORD00034,2026-06-07,2026-08-06,872.9,218.22,Demo Customer 007,SS004
INV00078,ORD00270,2026-05-15,2026-05-12,8077.04,4846.22,Demo Customer 016,SS026
INV00079,ORD00145,2026-06-15,2026-07-30,28794.38,7198.6,Demo Customer 059,SS024
INV00080,ORD00141,2026-03-15,2026-06-01,5546.17,3327.7,Demo Customer 037,SS008
INV00081,ORD00044,2026-04-27,2026-05-14,90858.86,0.0,Demo Customer 030,SS025
INV00082,ORD00259,2026-05-16,2026-03-10,65458.93,6545.89,Demo Customer 054,SS004
INV00083,ORD00058,2026-04-23,2026-06-08,64287.45,32143.72,Demo Customer 037,SS015
INV00084,ORD00183,2026-06-04,2026-07-19,35056.6,0.0,Demo Customer 002,SS011
INV00085,ORD00327,2026-06-12,2026-05-05,28948.04,0.0,Demo Customer 014,SS018
INV00086,ORD00230,2026-05-16,2026-05-24,68194.13,23867.95,Demo Customer 025,SS014
INV00087,ORD00236,2026-03-24,2026-07-12,26717.82,6679.45,Demo Customer 077,SS016
INV00088,ORD00322,2026-04-07,2026-06-14,24006.34,0.0,Demo Customer 071,SS004
INV00089,ORD00350,2026-03-12,2026-06-19,17112.24,17112.24,Demo Customer 074,SS026
INV00090,ORD00033,2026-05-01,2026-06-24,5427.1,0.0,Demo Customer 040,SS017
INV00091,ORD00011,2026-05-01,2026-07-13,22309.96,22309.96,Demo Customer 046,SS009
INV00092,ORD00213,2026-05-12,2026-06-20,94076.64,94076.64,Demo Customer 073,SS020
INV00093,ORD00108,2026-06-11,2026-07-16,7310.51,5848.41,Demo Customer 056,SS007
INV00094,ORD00008,2026-04-28,2026-06-10,36849.65,9212.41,Demo Customer 077,SS017
INV00095,ORD00065,2026-06-07,2026-05-16,74583.75,26104.31,Demo Customer 016,SS010
INV00096,ORD00060,2026-04-20,2026-03-24,61103.93,21386.38,Demo Customer 067,SS023
INV00097,ORD00047,2026-05-18,2026-04-18,34100.24,0.0,Demo Customer 073,SS013
INV00098,ORD00347,2026-06-18,2026-07-03,40343.11,0.0,Demo Customer 083,SS004
INV00099,ORD00154,2026-04-26,2026-07-14,23185.72,0.0,Demo Customer 057,SS001
INV00100,ORD00163,2026-05-18,2026-04-07,63090.57,6309.06,Demo Customer 063,SS006
INV00101,ORD00233,2026-06-16,2026-05-20,40836.73,24502.04,Demo Customer 056,SS013
INV00102,ORD00211,2026-04-08,2026-07-06,5764.99,5764.99,Demo Customer 068,SS008
INV00103,ORD00325,2026-06-03,2026-04-10,49642.76,4964.28,Demo Customer 075,SS029
INV00104,ORD00253,2026-06-05,2026-08-04,44488.47,11122.12,Demo Customer 061,SS028
INV00105,ORD00226,2026-06-06,2026-08-05,76266.55,76266.55,Demo Customer 054,SS014
INV00106,ORD00202,2026-06-18,2026-04-30,44891.36,15711.98,Demo Customer 040,SS018
INV00107,ORD00339,2026-05-21,2026-06-25,13085.27,3271.32,Demo Customer 086,SS023
INV00108,ORD00330,2026-05-23,2026-05-14,62040.28,21714.1,Demo Customer 079,SS014
INV00109,ORD00056,2026-06-08,2026-07-23,85794.0,68635.2,Demo Customer 018,SS001
INV00110,ORD00083,2026-06-10,2026-07-10,38433.57,38433.57,Demo Customer 057,SS028
INV00111,ORD00306,2026-06-09,2026-07-10,28962.8,28962.8,Demo Customer 024,SS005
INV00112,ORD00244,2026-06-20,2026-08-19,51770.18,0.0,Demo Customer 017,SS011
INV00113,ORD00207,2026-04-13,2026-04-09,25735.68,9007.49,Demo Customer 060,SS005
INV00114,ORD00267,2026-05-20,2026-07-19,31254.6,25003.68,Demo Customer 082,SS010
INV00115,ORD00175,2026-05-10,2026-06-13,24519.57,24519.57,Demo Customer 089,SS021
INV00116,ORD00302,2026-04-11,2026-07-03,50119.36,40095.49,Demo Customer 025,SS016
INV00117,ORD00321,2026-04-12,2026-07-05,5248.42,5248.42,Demo Customer 055,SS014
INV00118,ORD00360,2026-05-24,2026-05-14,23824.08,14294.45,Demo Customer 078,SS018
INV00119,ORD00241,2026-06-09,2026-07-09,65693.99,65693.99,Demo Customer 069,SS023
INV00120,ORD00254,2026-05-28,2026-06-27,27692.75,6923.19,Demo Customer 003,SS015
INV00121,ORD00165,2026-06-07,2026-07-22,39307.73,9826.93,Demo Customer 009,SS003
INV00122,ORD00315,2026-05-01,2026-04-18,58478.38,5847.84,Demo Customer 049,SS007
INV00123,ORD00048,2026-06-02,2026-03-22,31274.43,18764.66,Demo Customer 020,SS013
INV00124,ORD00021,2026-04-15,2026-07-16,78231.25,39115.62,Demo Customer 059,SS023
INV00125,ORD00329,2026-04-15,2026-07-10,19114.29,15291.43,Demo Customer 013,SS020
INV00126,ORD00359,2026-06-11,2026-04-06,5516.34,1930.72,Demo Customer 032,SS001
INV00127,ORD00209,2026-06-15,2026-07-01,3304.29,826.07,Demo Customer 081,SS011
INV00128,ORD00344,2026-06-02,2026-03-10,26046.19,0.0,Demo Customer 078,SS013
INV00129,ORD00155,2026-05-24,2026-03-01,43579.27,0.0,Demo Customer 002,SS005
INV00130,ORD00332,2026-06-05,2026-05-18,45342.13,0.0,Demo Customer 034,SS013
INV00131,ORD00243,2026-04-12,2026-03-06,15293.29,9175.97,Demo Customer 003,SS023
INV00132,ORD00077,2026-05-19,2026-04-14,11762.28,0.0,Demo Customer 078,SS021
INV00133,ORD00150,2026-04-29,2026-07-08,9680.27,9680.27,Demo Customer 053,SS006
INV00134,ORD00195,2026-05-02,2026-07-04,6872.38,0.0,Demo Customer 082,SS009
INV00135,ORD00216,2026-06-13,2026-05-08,11114.26,0.0,Demo Customer 078,SS014
INV00136,ORD00098,2026-04-29,2026-06-28,53287.79,53287.79,Demo Customer 051,SS028
INV00137,ORD00007,2026-05-20,2026-04-24,41651.49,4165.15,Demo Customer 015,SS006
INV00138,ORD00338,2026-04-17,2026-07-08,21497.39,17197.91,Demo Customer 033,SS015
INV00139,ORD00291,2026-05-09,2026-07-13,15939.83,3984.96,Demo Customer 056,SS008
INV00140,ORD00277,2026-05-22,2026-05-11,12537.75,1253.78,Demo Customer 082,SS009
INV00141,ORD00170,2026-06-18,2026-07-03,46930.94,37544.75,Demo Customer 071,SS021
INV00142,ORD00340,2026-05-12,2026-06-06,19446.62,9723.31,Demo Customer 029,SS030
INV00143,ORD00017,2026-05-09,2026-06-26,74805.59,74805.59,Demo Customer 034,SS001
INV00144,ORD00037,2026-05-26,2026-06-25,66221.3,0.0,Demo Customer 040,SS025
INV00145,ORD00016,2026-06-12,2026-07-27,9853.6,0.0,Demo Customer 045,SS023
INV00146,ORD00178,2026-05-31,2026-07-16,22308.17,22308.17,Demo Customer 017,SS003
INV00147,ORD00248,2026-04-11,2026-06-30,17593.46,14074.77,Demo Customer 030,SS026
INV00148,ORD00229,2026-06-07,2026-07-22,28613.82,14306.91,Demo Customer 078,SS002
INV00149,ORD00336,2026-05-28,2026-07-02,2548.45,2038.76,Demo Customer 074,SS024
INV00150,ORD00212,2026-06-11,2026-03-02,48732.58,4873.26,Demo Customer 037,SS003
INV00151,ORD00109,2026-05-04,2026-07-08,30953.75,0.0,Demo Customer 078,SS020
INV00152,ORD00268,2026-06-18,2026-07-18,52313.03,0.0,Demo Customer 057,SS019
INV00153,ORD00346,2026-04-23,2026-07-12,39600.75,39600.75,Demo Customer 074,SS016
INV00154,ORD00279,2026-06-03,2026-06-21,70244.47,70244.47,Demo Customer 012,SS022
INV00155,ORD00009,2026-06-03,2026-03-05,41466.26,4146.63,Demo Customer 004,SS027
INV00156,ORD00147,2026-05-17,2026-05-26,9836.65,0.0,Demo Customer 008,SS011
INV00157,ORD00049,2026-06-04,2026-07-19,46930.54,46930.54,Demo Customer 076,SS030
INV00158,ORD00193,2026-05-02,2026-06-22,28818.9,0.0,Demo Customer 079,SS024
INV00159,ORD00204,2026-05-16,2026-06-15,66112.82,16528.21,Demo Customer 085,SS004
INV00160,ORD00181,2026-04-11,2026-04-29,85847.63,51508.58,Demo Customer 019,SS016
INV00161,ORD00100,2026-04-23,2026-06-01,38623.29,23173.97,Demo Customer 066,SS026
INV00162,ORD00134,2026-06-16,2026-07-16,10347.52,0.0,Demo Customer 013,SS015
INV00163,ORD00265,2026-03-09,2026-06-11,11580.16,5790.08,Demo Customer 060,SS018
INV00164,ORD00172,2026-06-17,2026-05-05,76696.06,7669.61,Demo Customer 070,SS012
INV00165,ORD00269,2026-06-08,2026-07-17,71622.9,71622.9,Demo Customer 017,SS006
INV00166,ORD00020,2026-06-06,2026-07-21,46684.2,23342.1,Demo Customer 015,SS027
INV00167,ORD00143,2026-05-19,2026-04-29,51679.87,31007.92,Demo Customer 005,SS011
INV00168,ORD00294,2026-04-01,2026-07-01,64182.58,32091.29,Demo Customer 043,SS027
INV00169,ORD00348,2026-05-16,2026-06-05,4805.71,4805.71,Demo Customer 062,SS005
INV00170,ORD00097,2026-06-20,2026-08-04,55037.78,55037.78,Demo Customer 044,SS005
INV00171,ORD00071,2026-05-14,2026-05-31,51106.01,17887.1,Demo Customer 078,SS022
INV00172,ORD00013,2026-05-27,2026-07-26,63649.37,50919.5,Demo Customer 036,SS024
INV00173,ORD00234,2026-06-09,2026-07-12,30327.83,30327.83,Demo Customer 007,SS023
INV00174,ORD00196,2026-06-14,2026-06-29,36774.87,18387.44,Demo Customer 009,SS028
INV00175,ORD00111,2026-06-16,2026-06-02,23157.57,13894.54,Demo Customer 070,SS015
INV00176,ORD00324,2026-06-09,2026-06-24,8580.65,4290.32,Demo Customer 053,SS022
INV00177,ORD00275,2026-04-27,2026-05-23,7796.42,779.64,Demo Customer 067,SS013
INV00178,ORD00308,2026-05-11,2026-07-14,21028.49,21028.49,Demo Customer 079,SS026
INV00179,ORD00264,2026-05-27,2026-07-11,69410.09,55528.07,Demo Customer 023,SS025
INV00180,ORD00201,2026-06-13,2026-07-13,39524.89,19762.44,Demo Customer 082,SS014
INV00181,ORD00189,2026-04-07,2026-06-16,7579.48,1894.87,Demo Customer 018,SS024
INV00182,ORD00066,2026-06-07,2026-07-11,21895.38,5473.85,Demo Customer 037,SS018
INV00183,ORD00171,2026-06-07,2026-07-22,16313.02,8156.51,Demo Customer 027,SS016
INV00184,ORD00122,2026-06-06,2026-07-06,40000.54,10000.14,Demo Customer 043,SS030
INV00185,ORD00352,2026-06-07,2026-03-19,83360.89,29176.31,Demo Customer 071,SS008
INV00186,ORD00148,2026-05-26,2026-06-25,25552.09,25552.09,Demo Customer 055,SS028
INV00187,ORD00174,2026-05-22,2026-05-16,75003.11,45001.87,Demo Customer 078,SS030
INV00188,ORD00314,2026-04-27,2026-03-24,38317.87,3831.79,Demo Customer 085,SS023
INV00189,ORD00004,2026-06-06,2026-08-05,80033.02,40016.51,Demo Customer 016,SS023
INV00190,ORD00297,2026-06-19,2026-07-04,5672.24,0.0,Demo Customer 041,SS019
INV00191,ORD00227,2026-06-03,2026-05-11,10022.32,6013.39,Demo Customer 068,SS028
INV00192,ORD00292,2026-06-06,2026-08-05,4788.17,0.0,Demo Customer 036,SS025
INV00193,ORD00313,2026-06-11,2026-07-09,25740.08,12870.04,Demo Customer 023,SS016
INV00194,ORD00158,2026-05-31,2026-07-15,61282.2,0.0,Demo Customer 012,SS018
INV00195,ORD00130,2026-05-28,2026-04-15,10768.87,0.0,Demo Customer 064,SS012
INV00196,ORD00246,2026-06-08,2026-07-23,46383.92,46383.92,Demo Customer 011,SS004
INV00197,ORD00120,2026-06-06,2026-07-21,93467.42,93467.42,Demo Customer 070,SS028
INV00198,ORD00001,2026-04-13,2026-06-12,18789.79,15031.83,Demo Customer 007,SS014
INV00199,ORD00260,2026-04-30,2026-06-15,29106.31,29106.31,Demo Customer 063,SS018
INV00200,ORD00271,2026-06-07,2026-07-22,1240.19,0.0,Demo Customer 058,SS014
INV00201,ORD00045,2026-04-02,2026-03-12,48430.14,16950.55,Demo Customer 085,SS010
INV00202,ORD00176,2026-06-10,2026-08-09,36559.73,9139.93,Demo Customer 075,SS026
INV00203,ORD00105,2026-06-09,2026-05-15,20001.01,7000.35,Demo Customer 028,SS020
INV00204,ORD00074,2026-05-11,2026-07-10,39862.52,0.0,Demo Customer 041,SS010
INV00205,ORD00323,2026-06-06,2026-03-07,19737.88,6908.26,Demo Customer 063,SS007
INV00206,ORD00129,2026-05-11,2026-03-31,5806.45,0.0,Demo Customer 032,SS026
INV00207,ORD00142,2026-06-03,2026-07-14,37855.57,37855.57,Demo Customer 016,SS011
INV00208,ORD00187,2026-06-09,2026-07-24,1073.81,1073.81,Demo Customer 059,SS006
INV00209,ORD00012,2026-04-29,2026-06-29,12739.44,0.0,Demo Customer 083,SS011
INV00210,ORD00090,2026-05-20,2026-03-28,59858.46,35915.08,Demo Customer 057,SS027
INV00211,ORD00300,2026-05-30,2026-03-14,33037.09,19822.25,Demo Customer 036,SS028
INV00212,ORD00328,2026-06-09,2026-03-17,29922.43,17953.46,Demo Customer 040,SS030
INV00213,ORD00139,2026-04-21,2026-03-19,977.15,586.29,Demo Customer 029,SS007
INV00214,ORD00050,2026-05-30,2026-05-12,38809.96,3881.0,Demo Customer 040,SS030
INV00215,ORD00197,2026-04-07,2026-04-12,13284.13,0.0,Demo Customer 003,SS010
INV00216,ORD00070,2026-03-12,2026-06-07,31921.16,0.0,Demo Customer 022,SS004
INV00217,ORD00160,2026-04-06,2026-06-17,74794.63,18698.66,Demo Customer 085,SS009
INV00218,ORD00064,2026-06-06,2026-03-24,27218.26,16330.96,Demo Customer 032,SS003
INV00219,ORD00169,2026-04-25,2026-03-21,57166.52,5716.65,Demo Customer 027,SS007
INV00220,ORD00198,2026-06-12,2026-07-27,67316.87,16829.22,Demo Customer 034,SS021
