order_id,order_date,order_type,business_line,product_group,service_station_code,service_station_name,channel,order_status,settlement_status,order_amount,sales_account
ORD00019,2026-05-20,F,SMB,40,SS016,Demo Service Station 016,APOS,completed,settled,71504.4,Sales Account 13
ORD00020,2026-06-02,F,SMB,40,SS027,Demo Service Station 027,APOS,pending,applied,71208.47,Sales Account 23
ORD00021,2026-04-13,F,SMB,54,SS023,Demo Service Station 023,Partner,pending,applied,68916.28,Sales Account 10
ORD00022,2026-06-03,F,SMB,40,SS023,Demo Service Station 023,Partner,completed,not_applied,85957.24,Sales Account 17
ORD00023,2026-04-24,M,SMB,40,SS016,Demo Service Station 016,APOS,completed,settled,13553.02,Sales Account 25
ORD00024,2026-06-03,F,CON,54,SS008,Demo Service Station 008,APOS,pending,settled,82755.99,Sales Account 05
ORD00025,2026-04-20,F,SMB,40,SS017,Demo Service Station 017,APOS,completed,applied,33860.07,Sales Account 27
ORD00026,2026-05-16,M,CON,40,SS028,Demo Service Station 028,APOS,pending,settled,3087.62,Sales Account 02
ORD00027,2026-03-26,M,SMB,40,SS018,Demo Service Station 018,Offline,cancelled,not_applied,6472.87,Sales Account 08
ORD00028,2026-04-28,F,SMB,54,SS027,Demo Service Station 027,Partner,pending,applied,17535.62,Sales Account 10
ORD00029,2026-06-03,F,SMB,54,SS007,Demo Service Station 007,Offline,pending,settled,32470.85,Sales Account 22
ORD00030,2026-05-17,M,CON,40,SS015,Demo Service Station 015,Partner,completed,not_applied,84885.04,Sales Account 26
ORD00031,2026-04-27,M,CON,40,SS004,Demo Service Station 004,APOS,completed,settled,40458.75,Sales Account 11
ORD00032,2026-06-03,M,SMB,40,SS023,Demo Service Station 023,Partner,completed,not_applied,16818.89,Sales Account 02
ORD00033,2026-04-16,M,SMB,40,SS017,Demo Service Station 017,APOS,pending,applied,5456.6,Sales Account 02
ORD00034,2026-06-01,F,CON,54,SS004,Demo Service Station 004,Partner,pending,applied,976.25,Sales Account 24
ORD00035,2026-06-03,M,SMB,54,SS024,Demo Service Station 024,Offline,pending,settled,41249.32,Sales Account 23
ORD00036,2026-04-08,M,SMB,54,SS013,Demo Service Station 013,Offline,cancelled,applied,9406.41,Sales Account 19
ORD00037,2026-05-18,F,SMB,54,SS025,Demo Service Station 025,APOS,pending,applied,74811.5,Sales Account 07
ORD00038,2026-05-23,F,CON,54,SS005,Demo Service Station 005,APOS,completed,applied,53727.66,Sales Account 12
ORD00039,2026-04-29,M,SMB,54,SS021,Demo Service Station 021,Offline,cancelled,not_applied,62938.33,Sales Account 10
ORD00040,2026-04-18,M,CON,40,SS012,Demo Service Station 012,APOS,pending,not_applied,1833.82,Sales Account 01
ORD00041,2026-04-13,F,CON,40,SS015,Demo Service Station 015,Offline,completed,settled,85429.36,Sales Account 12
ORD00042,2026-04-26,F,CON,40,SS015,Demo Service Station 015,Partner,completed,applied,3419.18,Sales Account 06
ORD00043,2026-04-01,M,CON,54,SS016,Demo Service Station 016,Offline,completed,settled,66988.61,Sales Account 03
ORD00044,2026-04-18,M,SMB,54,SS025,Demo Service Station 025,Partner,completed,settled,80290.26,Sales Account 07
ORD00045,2026-03-21,M,SMB,40,SS010,Demo Service Station 010,Offline,pending,not_applied,57365.16,Sales Account 24
ORD00046,2026-03-29,M,SMB,54,SS004,Demo Service Station 004,APOS,pending,applied,68677.66,Sales Account 15
ORD00047,2026-05-04,M,SMB,40,SS013,Demo Service Station 013,APOS,pending,not_applied,59115.55,Sales Account 16
ORD00048,2026-06-01,F,CON,54,SS013,Demo Service Station 013,Offline,pending,applied,45494.13,Sales Account 14
ORD00049,2026-05-29,M,SMB,54,SS030,Demo Service Station 030,Partner,pending,not_applied,40919.69,Sales Account 27
ORD00050,2026-05-28,F,SMB,40,SS030,Demo Service Station 030,APOS,pending,applied,67854.48,Sales Account 02
ORD00051,2026-05-30,F,CON,40,SS016,Demo Service Station 016,Offline,pending,not_applied,2455.79,Sales Account 24
ORD00052,2026-05-27,F,SMB,54,SS012,Demo Service Station 012,Partner,completed,applied,44623.56,Sales Account 16
ORD00053,2026-05-05,M,SMB,40,SS009,Demo Service Station 009,APOS,completed,applied,78012.85,Sales Account 19
ORD00054,2026-06-03,F,SMB,54,SS004,Demo Service Station 004,Offline,pending,settled,81533.65,Sales Account 26
ORD00055,2026-05-11,M,SMB,40,SS009,Demo Service Station 009,Partner,pending,applied,12656.59,Sales Account 18
ORD00056,2026-05-26,F,CON,54,SS001,Demo Service Station 001,Offline,pending,not_applied,76246.36,Sales Account 16
ORD00057,2026-05-06,M,SMB,54,SS027,Demo Service Station 027,APOS,pending,not_applied,22782.98,Sales Account 22
ORD00058,2026-04-17,F,SMB,40,SS015,Demo Service Station 015,Offline,pending,applied,85879.59,Sales Account 22
ORD00059,2026-05-10,F,SMB,40,SS025,Demo Service Station 025,Offline,pending,not_applied,16170.11,Sales Account 18
ORD00060,2026-04-14,F,SMB,40,SS023,Demo Service Station 023,Offline,completed,not_applied,77958.28,Sales Account 21
ORD00061,2026-06-03,F,SMB,40,SS015,Demo Service Station 015,Offline,pending,settled,82238.25,Sales Account 27
ORD00062,2026-06-02,F,CON,40,SS025,Demo Service Station 025,Offline,completed,not_applied,41416.05,Sales Account 22
ORD00063,2026-06-03,F,SMB,54,SS016,Demo Service Station 016,Offline,pending,settled,11526.18,Sales Account 10
ORD00064,2026-06-03,F,SMB,40,SS003,Demo Service Station 003,Offline,completed,settled,34361.05,Sales Account 16
ORD00065,2026-06-03,F,SMB,40,SS010,Demo Service Station 010,APOS,pending,settled,75145.59,Sales Account 10
ORD00066,2026-06-03,F,SMB,40,SS018,Demo Service Station 018,Offline,completed,applied,34926.46,Sales Account 23
ORD00067,2026-06-03,F,SMB,40,SS009,Demo Service Station 009,Partner,pending,settled,6875.28,Sales Account 04
ORD00068,2026-03-07,M,SMB,40,SS014,Demo Service Station 014,Partner,completed,settled,41680.15,Sales Account 11
ORD00069,2026-06-03,M,SMB,54,SS004,Demo Service Station 004,Offline,pending,settled,44741.99,Sales Account 24
ORD00070,2026-03-10,M,CON,54,SS004,Demo Service Station 004,APOS,completed,settled,47870.04,Sales Account 02
ORD00071,2026-05-05,M,CON,54,SS022,Demo Service Station 022,Offline,pending,applied,84703.52,Sales Account 16
ORD00072,2026-05-05,M,SMB,54,SS003,Demo Service Station 003,APOS,pending,applied,74375.47,Sales Account 14
ORD00073,2026-04-30,F,CON,40,SS023,Demo Service Station 023,Partner,pending,not_applied,56808.17,Sales Account 09
ORD00074,2026-05-05,M,SMB,40,SS010,Demo Service Station 010,Offline,completed,not_applied,49239.35,Sales Account 17
ORD00075,2026-04-22,F,SMB,54,SS022,Demo Service Station 022,APOS,completed,not_applied,33960.97,Sales Account 16
ORD00076,2026-04-10,F,SMB,54,SS024,Demo Service Station 024,Offline,cancelled,settled,61438.7,Sales Account 16
ORD00077,2026-05-08,F,SMB,54,SS021,Demo Service Station 021,Partner,pending,not_applied,19082.09,Sales Account 19
ORD00078,2026-06-03,F,SMB,54,SS013,Demo Service Station 013,Partner,completed,applied,41606.07,Sales Account 17
ORD00079,2026-06-03,F,CON,54,SS002,Demo Service Station 002,APOS,completed,applied,35611.91,Sales Account 09
ORD00080,2026-05-28,M,CON,40,SS005,Demo Service Station 005,Offline,pending,settled,8883.41,Sales Account 15
ORD00081,2026-06-03,F,SMB,40,SS004,Demo Service Station 004,Offline,completed,settled,40845.52,Sales Account 19
ORD00082,2026-05-09,F,SMB,54,SS013,Demo Service Station 013,Partner,completed,applied,9582.9,Sales Account 27
ORD00083,2026-06-03,F,SMB,54,SS028,Demo Service Station 028,Partner,completed,not_applied,48916.17,Sales Account 27
ORD00084,2026-06-03,F,SMB,40,SS026,Demo Service Station 026,APOS,completed,settled,77320.5,Sales Account 03
ORD00085,2026-04-22,F,SMB,54,SS017,Demo Service Station 017,Partner,completed,not_applied,23146.26,Sales Account 09
ORD00086,2026-06-03,F,SMB,40,SS020,Demo Service Station 020,Partner,completed,applied,43611.66,Sales Account 16
ORD00087,2026-05-06,M,CON,40,SS030,Demo Service Station 030,Offline,pending,applied,64963.03,Sales Account 18
ORD00088,2026-06-03,M,CON,40,SS027,Demo Service Station 027,APOS,pending,settled,74968.62,Sales Account 19
ORD00089,2026-05-27,F,CON,54,SS029,Demo Service Station 029,Partner,completed,applied,23588.68,Sales Account 06
ORD00090,2026-05-15,F,SMB,40,SS027,Demo Service Station 027,APOS,completed,settled,59408.57,Sales Account 09
ORD00091,2026-05-30,F,CON,40,SS015,Demo Service Station 015,Offline,pending,applied,33565.14,Sales Account 26
ORD00092,2026-04-14,F,CON,40,SS004,Demo Service Station 004,APOS,pending,applied,83828.09,Sales Account 18
ORD00093,2026-05-17,F,CON,54,SS003,Demo Service Station 003,Offline,completed,applied,74043.0,Sales Account 21
ORD00094,2026-05-05,M,CON,40,SS019,Demo Service Station 019,APOS,pending,not_applied,30270.26,Sales Account 03
ORD00095,2026-04-08,M,SMB,40,SS001,Demo Service Station 001,Partner,pending,not_applied,79371.75,Sales Account 26
ORD00096,2026-05-08,M,CON,54,SS010,Demo Service Station 010,Offline,pending,applied,29965.39,Sales Account 11
ORD00097,2026-06-03,F,SMB,40,SS005,Demo Service Station 005,Offline,completed,settled,59401.61,Sales Account 10
ORD00098,2026-04-21,M,SMB,54,SS028,Demo Service Station 028,APOS,pending,not_applied,72963.74,Sales Account 26
ORD00099,2026-06-03,F,CON,54,SS001,Demo Service Station 001,Offline,pending,settled,13155.36,Sales Account 04
ORD00100,2026-04-09,F,SMB,40,SS026,Demo Service Station 026,Offline,completed,settled,35967.88,Sales Account 18
ORD00101,2026-03-21,M,SMB,40,SS012,Demo Service Station 012,Partner,pending,applied,9099.29,Sales Account 17
ORD00102,2026-05-30,M,SMB,54,SS014,Demo Service Station 014,Partner,pending,applied,61272.0,Sales Account 24
ORD00103,2026-05-09,M,SMB,54,SS023,Demo Service Station 023,Offline,completed,applied,38630.35,Sales Account 11
ORD00104,2026-06-03,M,SMB,40,SS001,Demo Service Station 001,APOS,pending,not_applied,31010.44,Sales Account 03
ORD00105,2026-05-25,F,CON,40,SS020,Demo Service Station 020,APOS,pending,not_applied,22498.63,Sales Account 22
ORD00106,2026-06-03,M,SMB,40,SS004,Demo Service Station 004,APOS,pending,not_applied,32631.66,Sales Account 12
ORD00107,2026-06-03,M,SMB,40,SS014,Demo Service Station 014,Partner,pending,settled,28403.21,Sales Account 15
ORD00108,2026-05-30,M,SMB,40,SS007,Demo Service Station 007,APOS,completed,settled,7304.8,Sales Account 15
ORD00109,2026-04-19,F,SMB,40,SS020,Demo Service Station 020,APOS,completed,not_applied,41847.82,Sales Account 17
ORD00110,2026-05-19,M,SMB,40,SS015,Demo Service Station 015,Partner,pending,settled,6753.95,Sales Account 24
ORD00111,2026-05-31,F,SMB,40,SS015,Demo Service Station 015,APOS,completed,applied,42063.76,Sales Account 07
ORD00112,2026-06-02,F,SMB,54,SS008,Demo Service Station 008,Partner,pending,applied,10869.68,Sales Account 25
ORD00113,2026-06-02,F,SMB,40,SS021,Demo Service Station 021,Partner,pending,applied,4044.21,Sales Account 09
ORD00114,2026-03-24,M,SMB,40,SS013,Demo Service Station 013,Partner,completed,settled,24951.15,Sales Account 02
ORD00115,2026-05-25,F,SMB,40,SS027,Demo Service Station 027,APOS,cancelled,settled,49509.89,Sales Account 27
ORD00116,2026-06-03,F,SMB,54,SS023,Demo Service Station 023,APOS,pending,settled,59323.06,Sales Account 10
ORD00117,2026-03-25,M,CON,54,SS027,Demo Service Station 027,Partner,pending,not_applied,78684.09,Sales Account 12
ORD00118,2026-04-26,F,SMB,40,SS023,Demo Service Station 023,Offline,completed,settled,74378.69,Sales Account 22
ORD00119,2026-06-03,M,SMB,54,SS023,Demo Service Station 023,APOS,completed,applied,21895.69,Sales Account 17
ORD00120,2026-05-20,F,SMB,54,SS028,Demo Service Station 028,APOS,pending,not_applied,82355.22,Sales Account 14
ORD00121,2026-04-28,F,SMB,54,SS020,Demo Service Station 020,Offline,pending,not_applied,80167.58,Sales Account 08
ORD00122,2026-05-31,F,CON,54,SS030,Demo Service Station 030,APOS,completed,not_applied,57354.7,Sales Account 07
ORD00123,2026-04-11,F,SMB,40,SS016,Demo Service Station 016,APOS,cancelled,not_applied,2920.52,Sales Account 13
ORD00124,2026-06-03,F,SMB,40,SS016,Demo Service Station 016,Offline,pending,not_applied,82799.64,Sales Account 21
ORD00125,2026-05-11,M,CON,40,SS003,Demo Service Station 003,Offline,pending,not_applied,17128.33,Sales Account 26
ORD00126,2026-05-18,F,SMB,40,SS030,Demo Service Station 030,APOS,pending,not_applied,85135.19,Sales Account 04
ORD00127,2026-05-23,M,SMB,40,SS008,Demo Service Station 008,Offline,pending,settled,57822.86,Sales Account 24
ORD00128,2026-04-28,M,SMB,40,SS027,Demo Service Station 027,APOS,cancelled,not_applied,62548.12,Sales Account 22
ORD00129,2026-05-10,M,SMB,40,SS026,Demo Service Station 026,Partner,completed,applied,8439.88,Sales Account 19
ORD00130,2026-05-21,M,SMB,40,SS012,Demo Service Station 012,APOS,pending,settled,12511.1,Sales Account 26
ORD00131,2026-03-24,M,SMB,40,SS021,Demo Service Station 021,Offline,pending,applied,46870.13,Sales Account 26
ORD00132,2026-06-03,F,SMB,54,SS010,Demo Service Station 010,Offline,completed,settled,71195.31,Sales Account 13
ORD00133,2026-06-03,M,CON,40,SS015,Demo Service Station 015,Offline,completed,settled,83727.44,Sales Account 25
ORD00134,2026-06-03,F,SMB,40,SS015,Demo Service Station 015,APOS,completed,settled,18784.24,Sales Account 27
ORD00135,2026-04-18,F,SMB,40,SS013,Demo Service Station 013,APOS,completed,applied,65253.1,Sales Account 01
ORD00136,2026-05-13,F,CON,54,SS001,Demo Service Station 001,APOS,cancelled,applied,62283.53,Sales Account 19
ORD00137,2026-05-22,M,SMB,40,SS008,Demo Service Station 008,Partner,pending,settled,1637.45,Sales Account 05
ORD00138,2026-05-08,F,SMB,54,SS021,Demo Service Station 021,APOS,completed,not_applied,22482.26,Sales Account 12
ORD00139,2026-04-13,M,CON,40,SS007,Demo Service Station 007,APOS,completed,settled,1192.29,Sales Account 12
ORD00140,2026-05-10,F,CON,54,SS030,Demo Service Station 030,Offline,completed,settled,83694.45,Sales Account 07
ORD00141,2026-03-06,M,SMB,40,SS008,Demo Service Station 008,Partner,completed,settled,8336.5,Sales Account 04
ORD00142,2026-06-03,M,SMB,40,SS011,Demo Service Station 011,Offline,pending,settled,55063.21,Sales Account 11
ORD00143,2026-05-06,M,CON,54,SS011,Demo Service Station 011,Partner,pending,applied,50408.51,Sales Account 27
ORD00144,2026-04-28,F,SMB,54,SS003,Demo Service Station 003,Partner,cancelled,not_applied,70237.7,Sales Account 25
ORD00145,2026-05-29,F,SMB,54,SS024,Demo Service Station 024,Offline,pending,applied,27378.1,Sales Account 20
ORD00146,2026-05-28,F,SMB,54,SS017,Demo Service Station 017,Offline,pending,applied,27194.61,Sales Account 24
ORD00147,2026-05-04,M,CON,40,SS011,Demo Service Station 011,APOS,completed,applied,10153.06,Sales Account 24
ORD00148,2026-05-09,F,SMB,54,SS028,Demo Service Station 028,Offline,pending,not_applied,45500.54,Sales Account 06
ORD00149,2026-04-04,M,SMB,40,SS016,Demo Service Station 016,APOS,pending,applied,40314.88,Sales Account 14
ORD00150,2026-04-18,F,SMB,54,SS006,Demo Service Station 006,APOS,pending,applied,13034.24,Sales Account 05
ORD00151,2026-04-13,F,CON,54,SS022,Demo Service Station 022,APOS,pending,not_applied,6449.88,Sales Account 16
ORD00152,2026-05-24,F,SMB,40,SS023,Demo Service Station 023,Partner,completed,settled,38277.99,Sales Account 25
ORD00153,2026-04-20,M,SMB,54,SS028,Demo Service Station 028,Partner,pending,not_applied,63960.06,Sales Account 25
ORD00154,2026-04-21,F,SMB,40,SS001,Demo Service Station 001,APOS,pending,applied,24516.28,Sales Account 05
ORD00155,2026-05-19,M,SMB,40,SS005,Demo Service Station 005,Offline,pending,applied,69096.07,Sales Account 04
ORD00156,2026-05-25,M,SMB,54,SS028,Demo Service Station 028,APOS,completed,not_applied,75142.01,Sales Account 18
ORD00157,2026-05-29,F,CON,54,SS030,Demo Service Station 030,Offline,completed,applied,75758.35,Sales Account 03
ORD00158,2026-05-31,F,CON,40,SS018,Demo Service Station 018,Offline,pending,not_applied,56401.99,Sales Account 26
ORD00159,2026-05-30,F,CON,40,SS010,Demo Service Station 010,APOS,completed,not_applied,57565.27,Sales Account 27
ORD00160,2026-03-24,M,SMB,54,SS009,Demo Service Station 009,Offline,completed,settled,70490.44,Sales Account 24
ORD00161,2026-05-02,F,CON,54,SS001,Demo Service Station 001,Offline,cancelled,settled,55548.89,Sales Account 13
ORD00162,2026-06-03,F,SMB,54,SS022,Demo Service Station 022,Offline,pending,not_applied,70481.11,Sales Account 15
ORD00163,2026-05-13,M,CON,54,SS006,Demo Service Station 006,Offline,cancelled,not_applied,76910.58,Sales Account 20
ORD00164,2026-05-29,F,SMB,54,SS027,Demo Service Station 027,Offline,pending,applied,35395.44,Sales Account 15
ORD00165,2026-06-02,F,SMB,54,SS003,Demo Service Station 003,Offline,pending,applied,58471.26,Sales Account 25
ORD00166,2026-05-19,F,SMB,54,SS004,Demo Service Station 004,Offline,completed,settled,10846.79,Sales Account 15
ORD00167,2026-05-31,F,CON,54,SS030,Demo Service Station 030,APOS,pending,not_applied,56575.37,Sales Account 27
ORD00168,2026-05-25,F,CON,54,SS002,Demo Service Station 002,Offline,pending,not_applied,60392.12,Sales Account 09
ORD00169,2026-04-19,M,SMB,54,SS007,Demo Service Station 007,Offline,completed,applied,53278.26,Sales Account 18
ORD00170,2026-06-02,F,SMB,54,SS021,Demo Service Station 021,APOS,pending,applied,80303.89,Sales Account 18
ORD00171,2026-06-03,F,SMB,40,SS016,Demo Service Station 016,Offline,pending,settled,18754.3,Sales Account 19
ORD00172,2026-06-03,F,SMB,54,SS012,Demo Service Station 012,Partner,completed,applied,73593.04,Sales Account 08
ORD00173,2026-04-01,F,CON,54,SS002,Demo Service Station 002,Partner,cancelled,settled,24219.49,Sales Account 13
ORD00174,2026-05-06,M,CON,40,SS030,Demo Service Station 030,Partner,completed,applied,73308.67,Sales Account 14
ORD00175,2026-04-29,F,CON,40,SS021,Demo Service Station 021,APOS,pending,not_applied,34010.61,Sales Account 24
ORD00176,2026-06-03,M,CON,40,SS026,Demo Service Station 026,Partner,pending,not_applied,37271.29,Sales Account 01
ORD00177,2026-05-21,F,SMB,40,SS023,Demo Service Station 023,Offline,cancelled,not_applied,71620.14,Sales Account 13
ORD00178,2026-05-16,F,SMB,40,SS003,Demo Service Station 003,APOS,pending,not_applied,26005.15,Sales Account 20
ORD00179,2026-05-12,F,SMB,40,SS022,Demo Service Station 022,Partner,completed,settled,26637.41,Sales Account 05
ORD00180,2026-04-13,F,SMB,54,SS028,Demo Service Station 028,Partner,pending,not_applied,54517.46,Sales Account 25
ORD00181,2026-04-11,M,SMB,40,SS016,Demo Service Station 016,Offline,completed,not_applied,80061.7,Sales Account 21
ORD00182,2026-05-14,F,SMB,54,SS008,Demo Service Station 008,APOS,pending,not_applied,32445.39,Sales Account 05
ORD00183,2026-05-30,M,SMB,54,SS011,Demo Service Station 011,Offline,completed,settled,32030.91,Sales Account 03
ORD00184,2026-05-30,F,SMB,40,SS018,Demo Service Station 018,Partner,completed,not_applied,63190.2,Sales Account 05
ORD00185,2026-06-03,F,CON,40,SS006,Demo Service Station 006,Offline,pending,not_applied,21506.31,Sales Account 05
ORD00186,2026-04-16,F,SMB,40,SS023,Demo Service Station 023,Offline,completed,settled,8560.67,Sales Account 06
ORD00187,2026-05-29,F,CON,40,SS006,Demo Service Station 006,Offline,pending,applied,1470.43,Sales Account 05
ORD00188,2026-04-08,M,CON,54,SS002,Demo Service Station 002,Offline,pending,not_applied,47120.83,Sales Account 15
ORD00189,2026-04-03,M,SMB,40,SS024,Demo Service Station 024,APOS,pending,not_applied,11564.77,Sales Account 07
ORD00190,2026-06-03,F,SMB,40,SS016,Demo Service Station 016,APOS,pending,not_applied,7657.18,Sales Account 14
ORD00191,2026-05-23,F,SMB,40,SS006,Demo Service Station 006,APOS,completed,applied,25058.82,Sales Account 18
ORD00192,2026-04-09,F,SMB,40,SS030,Demo Service Station 030,APOS,cancelled,not_applied,7973.23,Sales Account 14
ORD00193,2026-04-23,F,SMB,40,SS024,Demo Service Station 024,Offline,completed,applied,49885.38,Sales Account 24
ORD00194,2026-06-03,M,SMB,40,SS024,Demo Service Station 024,Partner,completed,settled,44577.97,Sales Account 22
ORD00195,2026-04-24,F,SMB,40,SS009,Demo Service Station 009,Offline,pending,not_applied,7242.56,Sales Account 19
ORD00196,2026-06-03,F,CON,54,SS028,Demo Service Station 028,Offline,completed,settled,61787.68,Sales Account 07
ORD00197,2026-04-05,M,SMB,40,SS010,Demo Service Station 010,Partner,completed,not_applied,16511.55,Sales Account 04
ORD00198,2026-06-03,F,CON,40,SS021,Demo Service Station 021,Partner,completed,settled,87554.65,Sales Account 23
ORD00199,2026-06-03,F,SMB,40,SS017,Demo Service Station 017,APOS,pending,not_applied,71954.26,Sales Account 08
ORD00200,2026-05-12,M,SMB,54,SS026,Demo Service Station 026,Offline,pending,settled,35939.01,Sales Account 11
ORD00201,2026-06-03,M,CON,40,SS014,Demo Service Station 014,Offline,completed,not_applied,46877.5,Sales Account 02
ORD00202,2026-06-02,F,SMB,40,SS018,Demo Service Station 018,APOS,completed,applied,74708.81,Sales Account 18
ORD00203,2026-05-13,F,SMB,54,SS017,Demo Service Station 017,APOS,completed,not_applied,69736.06,Sales Account 18
ORD00204,2026-05-03,M,SMB,40,SS004,Demo Service Station 004,APOS,pending,applied,78297.72,Sales Account 05
ORD00205,2026-03-21,M,SMB,54,SS021,Demo Service Station 021,Offline,cancelled,not_applied,9577.76,Sales Account 26
ORD00206,2026-06-03,F,CON,40,SS016,Demo Service Station 016,Partner,pending,applied,74619.49,Sales Account 25
ORD00207,2026-04-05,M,SMB,40,SS005,Demo Service Station 005,Partner,cancelled,not_applied,23390.31,Sales Account 04
ORD00208,2026-05-02,F,SMB,40,SS024,Demo Service Station 024,APOS,completed,applied,12174.79,Sales Account 27
ORD00209,2026-06-01,M,CON,54,SS011,Demo Service Station 011,Partner,completed,not_applied,5688.47,Sales Account 05
ORD00210,2026-03-27,M,SMB,40,SS018,Demo Service Station 018,APOS,completed,settled,81417.1,Sales Account 03
ORD00211,2026-04-07,M,SMB,40,SS008,Demo Service Station 008,APOS,completed,settled,7144.33,Sales Account 10
ORD00212,2026-05-25,M,SMB,54,SS003,Demo Service Station 003,APOS,pending,not_applied,47443.89,Sales Account 17
ORD00213,2026-05-05,F,SMB,40,SS020,Demo Service Station 020,Offline,completed,not_applied,83268.09,Sales Account 03
ORD00214,2026-06-03,M,SMB,54,SS005,Demo Service Station 005,Partner,pending,applied,65696.02,Sales Account 04
ORD00215,2026-06-03,F,SMB,40,SS011,Demo Service Station 011,Offline,completed,not_applied,2688.94,Sales Account 16
ORD00216,2026-05-30,M,SMB,54,SS014,Demo Service Station 014,Offline,pending,applied,10457.52,Sales Account 09
ORD00217,2026-04-26,F,CON,40,SS001,Demo Service Station 001,Partner,completed,settled,52482.08,Sales Account 01
ORD00218,2026-06-03,F,SMB,40,SS007,Demo Service Station 007,Offline,completed,applied,46033.59,Sales Account 01
ORD00219,2026-05-19,M,CON,40,SS006,Demo Service Station 006,Offline,completed,settled,65536.97,Sales Account 04
ORD00220,2026-03-28,M,SMB,40,SS026,Demo Service Station 026,APOS,completed,settled,70765.0,Sales Account 10
ORD00221,2026-05-27,F,SMB,40,SS009,Demo Service Station 009,APOS,pending,applied,23476.55,Sales Account 14
ORD00222,2026-06-03,F,SMB,40,SS014,Demo Service Station 014,Offline,pending,not_applied,37235.37,Sales Account 23
ORD00223,2026-06-03,F,SMB,40,SS017,Demo Service Station 017,Offline,completed,settled,71465.61,Sales Account 17
ORD00224,2026-05-29,F,CON,40,SS021,Demo Service Station 021,Offline,completed,not_applied,52004.63,Sales Account 09
ORD00225,2026-05-21,F,SMB,54,SS002,Demo Service Station 002,APOS,pending,applied,18238.31,Sales Account 16
ORD00226,2026-06-01,F,SMB,40,SS014,Demo Service Station 014,APOS,pending,applied,72233.84,Sales Account 04
ORD00227,2026-06-03,F,SMB,40,SS028,Demo Service Station 028,Offline,pending,not_applied,11876.39,Sales Account 25
ORD00228,2026-06-02,F,SMB,40,SS006,Demo Service Station 006,Offline,completed,applied,9873.52,Sales Account 18
ORD00229,2026-05-28,F,SMB,40,SS002,Demo Service Station 002,Partner,completed,applied,32618.03,Sales Account 05
ORD00230,2026-05-04,M,SMB,54,SS014,Demo Service Station 014,Partner,pending,not_applied,62567.02,Sales Account 26
ORD00231,2026-05-09,M,SMB,54,SS011,Demo Service Station 011,APOS,pending,not_applied,77461.56,Sales Account 20
ORD00232,2026-05-07,M,SMB,54,SS019,Demo Service Station 019,Offline,pending,not_applied,57802.61,Sales Account 05
ORD00233,2026-06-01,F,SMB,40,SS013,Demo Service Station 013,Offline,pending,not_applied,42976.26,Sales Account 02
ORD00234,2026-06-03,F,SMB,40,SS023,Demo Service Station 023,APOS,pending,applied,41484.26,Sales Account 18
ORD00235,2026-04-01,F,CON,54,SS017,Demo Service Station 017,Offline,completed,settled,29614.43,Sales Account 19
ORD00236,2026-03-18,M,SMB,54,SS016,Demo Service Station 016,Offline,completed,settled,36329.66,Sales Account 02
